ANIMI;Elanike arv;Raadius;x
Tartu linn;93865;18;18.773
Narva linn;55249;11;11.0498
Pärnu linn;39438;7.9;7.8876
Viimsi vald;20360;4.1;4.072
Viljandi linn;17407;3.5;3.4814
Ahtme linnaosa;15779;3.2;3.1558
Järve linnaosa;15500;3.1;3.1
Maardu linn;15332;3.1;3.0664
Rakvere linn;15189;3.0;3.0378
Kuressaare linn;13097;2,6;2.6194
Sillamäe linn;12719;2,5;2.5438
Valga linn;12182;2,4;2.4364
Võru linn;11859;2,4;2.3718
Jõhvi linn;10541;2,1;2.1082
Keila linn;10087;2,0;2.0174
Haapsalu linn;9675;1,9;1.935
Paide linn;7905;1,6;1.581
Elva linn;5664;1,1;1.1328
Saue linn;5629;1,1;1.1258
Põlva linn;5324;1,1;1.0648
Tapa linn;5316;1,1;1.0632
Rapla linn;5069;1;1.0138
Türi linn;4981;1;0.9962
Kiviõli linn;4964;1;0.9928
Põltsamaa linn;3981;0.8;0.7962
Sindi linn;3806;0.8;0.7612
Paldiski linn;3529;0.7;0.7058
Kärdla linn;3230;0.6;0.646
Kunda linn;3036;0.5;0.6072
Tõrva linn;2703;0.5;0.5406
Kehra linn;2639;0.5;0.5278
Narva-Jõesuu linn;2620;0.5;0.524
Loksa linn;2576;0.5;0.5152
Räpina linn;2149;0.5;0.4298
Otepää linn;2124;0.5;0.4248
Tamsalu linn;2103;0.5;0.4206
